"ID","area_pq","cd_coord_x","cd_coord_y"
388,590437.16,325677.180803975,7405801.81769196
402,35883.43,328870.675,7370469.6375
405,36508.55,327203.104666667,7381131.724
408,37125.68,340499.366451613,7402434.6341129
410,150344.54,350307.673333333,7386407.69041667
416,47896.6,327901.156326531,7394142.7577551
417,55284.86,324043.226666667,7389688.65666667
419,1277949.09,330248.638928571,7405395.06416667
421,1009966.17,321432.478571183,7409213.29751752
434,1311799.7,354931.830374607,7395126.43992369
441,159495.38,323748.995,7385017.80583333
443,6510.25,320463.22,7378375.45
444,29252.22,319481.890714286,7385569.6
448,597083.83,354714.930181511,7388197.91135078
449,246268.57,347326.941333333,7391935.608
450,467499.03,356598.063114754,7388812.74245902
451,88362.56,317692.1625,7388948.74346154
458,80593.83,322473.999090909,7387830.37363636
459,689555.86,350857.288045277,7395399.10050839
460,65915.16,323160.374117647,7388486.20088235
462,893418.22,358535.216451613,7390117.39741935
463,11048.36,326222.61,7386942.66
464,29746.66,346948.38,7387069.26333333
466,777764.27,348332.278846154,7391995.21730769
469,46040.23,331564.82,7399463.05375
473,535460.02,326168.980526316,7357919.48789474
475,24510.64,331684.408888889,7394580.12777778
476,26690.46,329802.161428571,7398930.08
477,8578.8,328237.174,7401045.116
478,6015.975,324684.93,7391465.02
482,25267.16,319950.158181818,7391411.82181818
483,25746.43,323099.77,7365208.43
484,369360.48,320128.771111111,7411038.86111111
485,51232.57,337271.77,7392166.94
486,83503.76,320753.47125,7384421.665
488,194357.49,329333.253023256,7396713.39465116
489,765342.88,323751.135376344,7394999.29537634
490,2977258.6,332397.805831325,7404762.55380723
491,208259.08,334559.542888889,7399388.38844444
492,207285.75,337867.534901961,7396453.08078431
495,10968981.08,347612.446766467,7401673.69685629
496,3433859.55,320054.466930233,7377096.7512093
497,4426725.01,319729.629072165,7404161.53835052
498,68791948.62,327122.937829181,7338907.00045077
500,42247363.07,329392.75,7406854.2
501,4836136.34,333314.240608108,7358760.7885473
