pq_area,pq_id,pq_nome,pq_PrefReg,uc_nome,uc_categor,uc_lei,uc_gestao,uc_area,layer,path,area_pq_m2,cd_categ,area_veg_m
"182319.9","28",Independencia,Ipiranga,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,90847.21317,"13.00",54507.75142
"182319.9","28",Independencia,Ipiranga,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,90847.21317,"14.00",3077.24361
"182319.9","29",Independencia,Ipiranga,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,91472.66237,"11.00",31070.44911
"182319.9","29",Independencia,Ipiranga,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,91472.66237,"13.00",30057.91903
"182319.9","29",Independencia,Ipiranga,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,91472.66237,"14.00",3007.48954
"110164.7","30",Nascentes Do Ribeirao Colonia,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,110164.73812,"1.00",1428.71205
"110164.7","30",Nascentes Do Ribeirao Colonia,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,110164.73812,"10.00",6982.71168
"110164.7","30",Nascentes Do Ribeirao Colonia,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,110164.73812,"11.00",53379.39815
"110164.7","30",Nascentes Do Ribeirao Colonia,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,110164.73812,"13.00",42.74076
"110164.7","30",Nascentes Do Ribeirao Colonia,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,110164.73812,"15.00",26304.43350
"110164.7","30",Nascentes Do Ribeirao Colonia,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,110164.73812,"2.00",8879.61715
"19151.73","31",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,381.42663,"11.00",353.84534
"19151.73","32",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,4866.26249,"13.00",4591.22530
"19151.73","33",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,165.62523,"13.00",146.76415
"19151.73","34",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,2595.78620,"11.00",473.39929
"19151.73","34",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,2595.78620,"13.00",331.53471
"19151.73","35",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,2754.38494,"13.00",2096.88864
"19151.73","36",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,1258.42056,"11.00",1122.41976
"19151.73","37",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,1986.22800,"13.00",1912.01297
"19151.73","38",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,3046.30515,"11.00",2360.18063
"19151.73","39",Ipiranguinha,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,2097.26949,"11.00",1682.90667
"341519.7","40",Pinheirinho Dagua,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,303953.89690,"11.00",5753.22076
"341519.7","40",Pinheirinho Dagua,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,303953.89690,"13.00",270361.45884
"341519.7","40",Pinheirinho Dagua,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,303953.89690,"14.00",487.57551
"341519.7","41",Pinheirinho Dagua,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,37565.89784,"11.00",28902.34667
"341519.7","41",Pinheirinho Dagua,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,37565.89784,"14.00",688.71754
"23620.27","42",Senhor Do Vale,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,2592.53975,"13.00",2444.01176
"23620.27","43",Senhor Do Vale,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,21027.72410,"13.00",19637.50576
"32483.46","44",Fogo,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,32483.48520,"11.00",3471.13780
"32483.46","44",Fogo,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,32483.48520,"13.00",14091.07171
"32483.46","44",Fogo,Pirituba/Jaragua,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,32483.48520,"14.00",434.85131
"16644.29","45",Corrego Rapadura,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,763.74207,"13.00",763.74207
"16644.29","46",Corrego Rapadura,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,514.72601,"13.00",514.72601
"16644.29","47",Corrego Rapadura,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,15365.81062,"13.00",14494.86872
"65132.53","48",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,6106.73795,"11.00",5774.34040
"65132.53","49",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,329.65934,"13.00",214.84136
"65132.53","50",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,2619.19049,"11.00",1989.96726
"65132.53","51",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,517.89120,"13.00",395.71954
"65132.53","52",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,8252.70091,"11.00",4184.31534
"65132.53","52",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,8252.70091,"14.00",666.88724
"65132.53","53",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,347.16305,"11.00",288.02178
"65132.53","54",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,16649.44310,"11.00",13316.88542
"65132.53","55",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,4900.23979,"11.00",1724.95069
"65132.53","55",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,4900.23979,"13.00",1505.20494
"65132.53","55",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,4900.23979,"14.00",305.72868
"65132.53","56",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,10387.48062,"11.00",2656.40697
"65132.53","56",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,10387.48062,"13.00",300.91850
"65132.53","56",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,10387.48062,"14.00",499.97769
"65132.53","57",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,15022.05296,"11.00",1867.48057
"65132.53","57",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,15022.05296,"13.00",5320.81366
"65132.53","57",Aricanduva - Viaduto Badra,Aricanduva/Vila Formosa,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,15022.05296,"14.00",94.26022
"17373.74","58",Parelheiros,Parelheiros,,,,,,FIX_SIRGAS_SHP_parquemunicipal,G:/Meu Drive/Universidade/LEQuE/ANDREA LEQUE/0_pqcateg/FIX_SIRGAS_SHP_parquemunicipal.shp,17373.75762,"13.00",13210.08624
