"parque_id","nome_parque","classificacao_area_verde","area_m2","categoria_area_verde"
65,"LIONS TUCURUVI","Parque Municipal Existente",22965.94,"Urbano"
66,"HORTO FLORESTAL","Parque Estadual Urbano",2977258.6,"Urbano"
67,"JUVENTUDE","Parque Estadual Urbano",208259.08,"Urbano"
68,"JARDIM FELICIDADE","Parque Municipal Existente",26010.57,"Urbano"
69,"CIDADE DE TORONTO","Parque Municipal Existente",130075.91,"Urbano"
70,"JACINTO ALBERTO","Parque Municipal Existente",35356.92,"Urbano"
71,"LINEAR FOGO","Parque Municipal Existente",39399.08,"Linear"
72,"PINHEIRINHO D'AGUA","Parque Municipal Existente",366905.89,"Urbano"
73,"RODRIGO DE GASPERI","Parque Municipal Existente",36851.91,"Urbano"
74,"SAO DOMINGOS","Parque Municipal Existente",76388.22,"Urbano"
75,"SENHOR DO VALE","Parque Municipal Existente",23560.77,"Urbano"
76,"ANTONIO INOCENCIO DE SOUZA","Parque Municipal Proposto: em Planejamento",104689.77,"Linear"
77,"JARDIM SANTO ELIAS","Parque Municipal Proposto: em Planejamento",241859.55,"a definir"
78,"BRASILANDIA B","Parque Municipal Proposto: em Implantação",174776.49,"Urbano"
79,"BORDA CANTAREIRA NUCLEO TAIPAS","Parque Municipal Proposto: em Implantação",1528128.03,"Urbano"
80,"BRASILANDIA","Parque Municipal Proposto: em Implantação",415660.67,"Urbano"
81,"LINEAR DO CORREGO DO BANANAL/CANIVETE FASE 2","Parque Municipal Proposto: em Implantação",1139265.11,"Linear"
82,"LINEAR DO RIBEIRAO PERUS FASE 2","Parque Municipal Proposto: em Implantação",267501.1,"Linear"
83,"LINEAR DO RIBEIRAO PERUS FASE 1","Parque Municipal Proposto: em Implantação",670293.55,"Linear"
84,"JAGUARE","Parque Estadual de Proteção Integral",4426725.01,"Proteção Integral"
85,"MARIO PIMENTA CAMARGO","Parque Municipal Existente",116094.19,"Urbano"
86,"PREFEITO MARIO COVAS","Parque Municipal Existente",7567.83,"Urbano"
87,"TENENTE SIQUEIRA CAMPOS","Parque Municipal Existente",36291.86,"Urbano"
88,"VICTOR CIVITTA","Parque Municipal Existente",13841.14,"Urbano"
89,"LINEAR CORREGO VERDE","Parque Municipal Proposto: em Implantação",47896.6,"Linear"
90,"VILLA LOBOS","Parque Estadual Urbano",765342.88,"Urbano"
91,"ANHANGUERA","Parque Municipal Existente",9166880.02,"Urbano"
92,"ANHANGUERA CICLOVIA DE PERUS","Parque Municipal Proposto: em Planejamento",186089.97,"Ciclovia"
93,"ATERRO BANDEIRANTES","Parque Municipal Proposto: em Planejamento",1532319.47,"Urbano"
94,"CAVAS DE OURO","Parque Municipal Proposto: em Planejamento",415204.52,"Urbano"
95,"ANHANGUERA AMPLIACAO_1","Parque Municipal Proposto: em Planejamento",169432.08,"Urbano"
96,"ANHANGUERA AMPLIACAO_2","Parque Municipal Proposto: em Planejamento",263481.25,"Urbano"
97,"LINEAR DO RIBEIRAO PERUS FASE 3","Parque Municipal Proposto: em Implantação",72171.52,"Linear"
98,"LUTA_DOS_QUEIXADAS","Parque Municipal Proposto: em Planejamento",369360.48,"Linear"
99,"RINCAO","Parque Municipal Proposto: em Planejamento",143459.02,"Linear"
100,"LINEAR ARICANDUVA FASE 1 - VIADUTO BADRA","Parque Municipal Existente",63565.67,"Linear"
101,"LINEAR TIQUATIRA - ENGENHEIRO WERNER ZULAUF","Parque Municipal Existente",189831.76,"Linear"
102,"VILA SILVIA FASE 1","Parque Municipal Existente",6397.19,"Urbano"
103,"LINEAR NASCENTES DO CORREGO PONTE RASA","Parque Municipal Proposto: em Planejamento",41245.52,"Linear"
104,"LINEAR DO RIBEIRAO CAULIM FASE 1","Parque Municipal Existente",1483750.97,"Linear"
105,"LINEAR MUNICIPAL PARELHEIROS","Parque Municipal Existente",19052.97,"Linear"
106,"NATURAL ITAIM (RODOANEL)","Parque Municipal Existente",4794445.01,"Natural"
107,"NATURAL MUNICIPAL JACEGUAVA (RODOANEL)","Parque Municipal Existente",3730789.68,"Natural"
108,"URBANO LINEAR 1 (RODOANEL)","Parque Municipal Proposto: em Planejamento",309485.64,"Urbano"
109,"MANANCIAIS PAULISTANOS ARAGUAVA","Parque Municipal Proposto: em Planejamento",2582510.37,"Natural"
110,"NATURAL DO GRAMADO","Parque Municipal Proposto: em Planejamento",8534058,"Natural"
111,"CRATERA DE COLONIA - FASE 2","Parque Municipal Proposto: em Planejamento",11794837.29,"Natural"
112,"LINEAR DO RIBEIRAO CAULIM FASE 3","Parque Municipal Proposto: em Implantação",1074324.8,"Linear"
113,"NATURAL MUNICIPAL CRATERA DE COLONIA","Parque Municipal Proposto: em Implantação",535460.02,"Natural"
114,"LINEAR_SUB_PARELHEIROS","Parque Municipal Proposto: em Planejamento",25746.43,"Linear"
115,"SERRA DO MAR (TRECHO SP)","Parque Estadual de Proteção Integral",68791948.62,"Proteção Integral"
116,"BENEMERITO JOSE BRAS","Parque Municipal Existente",21963.15,"Linear"
117,"PIQUERI","Parque Municipal Existente",98114.59,"Urbano"
118,"AVENIDA VILA EMA","Parque Municipal Proposto: em Planejamento",17230.79,"Urbano"
119,"RUA PADRE BENEDITO MARIA CARDOSO","Parque Municipal Proposto: em Planejamento",4675.15,"Urbano"
120,"PARQUE DA MOOCA","Parque Municipal Proposto: em Planejamento",51232.57,"a definir"
121,"BELEM","Parque Estadual Urbano",207285.75,"Urbano"
122,"ALTOS DA BARONESA","Parque Municipal Existente",23610.65,"Urbano"
123,"GUARAPIRANGA","Parque Municipal Existente",146699.77,"Urbano"
124,"JARDIM HERCULANO","Parque Municipal Existente",75561.61,"Urbano"
125,"MBOI MIRIM","Parque Municipal Existente",191657.62,"Urbano"
126,"EMBU MIRIM FASE 1","Parque Municipal Proposto: em Planejamento",2159390.79,"Natural"
127,"EMBU MIRIM FASE 2","Parque Municipal Proposto: em Planejamento",1107252.67,"Natural"
128,"GUAVIRITUBA","Parque Municipal Proposto: em Planejamento",116147.03,"Linear"
129,"NHO CHICO","Parque Municipal Proposto: em Planejamento",117540.58,"Urbano"
130,"ORLA GUARAPIRANGA MBOI MIRIM","Parque Municipal Proposto: em Planejamento",6234464.13,"Natural"
131,"LINEAR ITUPU","Parque Municipal Proposto: em Implantação",6510.25,"Linear"
132,"ECOLOGICO DO GUARAPIRANGA","Parque Estadual Urbano",3433859.55,"Urbano"
133,"JARDIM DAS PERDIZES","Parque Municipal Existente",76631.62,"Urbano"
134,"ECOLOGICO DE CAMPO CERRADO DR. ALFREDO USTERI (CERRADINHO)","Parque Municipal Existente",17646.29,"Urbano"
135,"LEOPOLDINA - ORLANDO VILLAS-BOAS FASE 1","Parque Municipal Existente",67129.45,"Urbano"
136,"VILA DOS REMEDIOS","Parque Municipal Existente",104330.81,"Urbano"
137,"ZILDA NATEL","Parque Municipal Existente",2313.11,"Urbano"
138,"LEOPOLDINA - ORLANDO VILLAS-BOAS FASE 2","Parque Municipal Existente",0.01,"Urbano"
139,"FERNANDO COSTA (AGUA BRANCA)","Parque Estadual Urbano",194357.49,"Urbano"
140,"SENA","Parque Municipal Existente",27789.16,"Urbano"
141,"BARROCADA","Parque Municipal Proposto: em Planejamento",2181453.97,"Urbano"
142,"BORDA DA CANTAREIRA NUCLEO JULIAO FAGUNDES","Parque Municipal Proposto: em Planejamento",450318.74,"Urbano"
143,"ENGORDADOR","Parque Municipal Proposto: em Planejamento",1419473.69,"Urbano"
144,"SANTA MARIA FASE 1","Parque Municipal Proposto: em Planejamento",3500657.52,"Natural"
145,"SANTA MARIA FASE 2","Parque Municipal Proposto: em Planejamento",759925.5,"Natural"
146,"TREMEMBE","Parque Municipal Proposto: em Planejamento",415653.39,"Urbano"
147,"LINEAR CABUCU DE CIMA FASE 2 (COM_DUP)","Parque Municipal Proposto: em Implantação",2586.79,"Linear"
148,"TREMEMBE-FONTE GIOCONDA","Parque Municipal Proposto: em Planejamento",13130.39,"Urbano"
149,"LINA E PAULO RAIA","Parque Municipal Existente",15469.48,"Urbano"
150,"NABUCO","Parque Municipal Existente",30464.27,"Urbano"
151,"FONTES DO IPIRANGA","Parque Estadual de Proteção Integral",4836136.34,"Proteção Integral"
152,"AREA PRESERVACAO SAVOY CITY","Parque Municipal Existente",10482.26,"Urbano"
153,"DO CARMO","Parque Municipal Existente",1476124.5,"Urbano"
154,"LINEAR RIO VERDE","Parque Municipal Existente",40211.59,"Linear"
155,"RAUL SEIXAS","Parque Municipal Existente",33217.78,"Urbano"
156,"APA DO IGUATEMI","Parque Municipal Proposto: em Planejamento",295637.63,"Urbano"
157,"CARMO EXPANSAO","Parque Municipal Proposto: em Planejamento",902414.32,"Urbano"
158,"SABBADO DANGELO","Parque Municipal Proposto: em Planejamento",11065.04,"Urbano"
159,"LINEAR GUARATIBA FASE 3","Parque Municipal Proposto: em Planejamento",344286.77,"Linear"
160,"LINEAR RIO VERDE FASE 4","Parque Municipal Proposto: em Planejamento",570723.93,"Linear"
161,"LINEAR RIO VERDE FASE 2","Parque Municipal Proposto: em Planejamento",28176.74,"Linear"
162,"LINEAR RIO VERDE FASE 3","Parque Municipal Proposto: em Planejamento",76255.22,"Linear"
163,"LINEAR GUARATIBA FASE 2","Parque Municipal Proposto: em Implantação",575523.84,"Linear"
164,"LINEAR RIO VERDE FASE 1","Parque Municipal Proposto: em Implantação",14399.97,"Linear"
165,"CHACARA DAS FLORES","Parque Municipal Existente",39798.55,"Urbano"
166,"CHICO MENDES","Parque Municipal Existente",61392.38,"Urbano"
167,"ECOLOGICO CENTRAL ITAIM FASE 1","Parque Municipal Existente",22953.68,"Urbano"
168,"LINEAR AGUA VERMELHA FASE 1","Parque Municipal Existente",116162.86,"Linear"
169,"LINEAR ITAIM PAULISTA","Parque Municipal Existente",74205.89,"Linear"
170,"QUISSISSANA (RESERVA)","Parque Municipal Existente",36564.23,"Urbano"
171,"PARQUE DAS AGUAS","Parque Municipal Existente",73986.47,"Urbano"
172,"SANTA AMELIA","Parque Municipal Existente",37495.43,"Urbano"
173,"TIJUCO PRETO","Parque Municipal Proposto: em Planejamento",157414.82,"Linear"
174,"LINEAR AGUA VERMELHA FASE 2","Parque Municipal Proposto: em Implantação",141769.13,"Linear"
