"ID","nome_pq","class_area_verde","categoria_area_verde","area_pq","cd_coord_x","cd_coord_y"
58,"JARDIM FELICIDADE","Parque Municipal Existente","Urbano",26010.57,323788.79,7400856.1
59,"JARDIM HERCULANO","Parque Municipal Existente","Urbano",75561.61,321026.02,7378769.214
60,"LAJEADO - IZAURA PEREIRA DE SOUZA FRANZOLIN","Parque Municipal Existente","Urbano",14215.29,356574.93,7396170.86
61,"LEOPOLDINA - ORLANDO VILLAS-BOAS FASE 1","Parque Municipal Existente","Urbano",67129.45,322700.94,7397868.52
61,"LEOPOLDINA - ORLANDO VILLAS-BOAS FASE 2","Parque Municipal Existente","Urbano",0.01,322623.57,7397802.88
62,"LINA E PAULO RAIA","Parque Municipal Existente","Urbano",15469.48,332417.79,7385068.58
63,"LINEAR AGUA VERMELHA FASE 1","Parque Municipal Existente","Linear",116162.86,355253.217692308,7400346.45692308
63,"LINEAR AGUA VERMELHA FASE 2","Parque Municipal Proposto: em Implantação","Linear",141769.13,355328.001764706,7398726.94411765
66,"LINEAR ARICANDUVA FASE 1 - VIADUTO BADRA","Parque Municipal Existente","Linear",63565.67,342062.47,7396229.925625
76,"LINEAR DO CORREGO RAPADURA","Parque Municipal Existente","Linear",16437,342088.09,7393876.87666667
79,"LINEAR DO RIBEIRAO CAULIM FASE 1","Parque Municipal Existente","Linear",1483750.97,324487.266578947,7370860.64947368
79,"LINEAR DO RIBEIRAO CAULIM FASE 2","Parque Municipal Proposto: em Planejamento","Linear",459264.44,324962.634146341,7371939.77219512
79,"LINEAR DO RIBEIRAO CAULIM FASE 3","Parque Municipal Proposto: em Implantação","Linear",1074324.8,323492.983867925,7367704.23254717
80,"LINEAR FOGO","Parque Municipal Existente","Linear",39399.08,322988.114090909,7407061.76909091
82,"LINEAR INVERNADA","Parque Municipal Existente","Linear",8396.83,330188.004,7386298.768
88,"LINEAR IPIRANGUINHA","Parque Municipal Existente","Linear",18955.77,343853.330909091,7392140.56909091
94,"LINEAR ITAIM PAULISTA","Parque Municipal Existente","Linear",74205.89,358282.289183673,7400023.4
109,"LINEAR MONGAGUA","Parque Municipal Existente","Linear",52388.74,349103.1356,7400400.7472
115,"LINEAR MUNICIPAL PARELHEIROS","Parque Municipal Existente","Linear",19052.97,324596.94,7363851.96666667
116,"LINEAR RIO VERDE","Parque Municipal Existente","Linear",40211.59,350931.015,7395582.63625
117,"LINEAR SAO JOSE FASE 1","Parque Municipal Existente","Linear",26622.3,324791.575714286,7374617.45857143
118,"LINEAR SAPE","Parque Municipal Existente","Linear",34392.23,320710.973571429,7390723.48142857
119,"LINEAR TABOAO","Parque Municipal Existente","Linear",12090.54,344429.514285714,7390521.20928571
120,"LINEAR TIQUATIRA - ENGENHEIRO WERNER ZULAUF","Parque Municipal Existente","Linear",189831.76,343280.48,7398713.065625
122,"LINEAR VARZEA DO TIETE - NUCLEO ANTONIO ARNALDO/VILA JACUI","Parque Municipal Existente","Linear",137394.72,351472.226551724,7401902.07551724
122,"LINEAR VARZEA DO TIETE - NUCLEO ITAIM BIACICA","Parque Municipal Proposto: em Planejamento","Linear",672825.96,356727.284509804,7401897.55647059
122,"LINEAR VARZEA DO TIETE - NUCLEO JARDIM ROMANO","Parque Municipal Proposto: em Planejamento","Linear",282009.78,358831.068461538,7402859.105
123,"LIONS TUCURUVI","Parque Municipal Existente","Urbano",22965.94,335852.81,7403812.52
124,"LUIZ CARLOS PRESTES","Parque Municipal Existente","Urbano",29672.77,323451.77,7390809.95
126,"LUZ","Parque Municipal Existente","Urbano",102727.16,333174.05,7396408.92428571
127,"MARIO PIMENTA CAMARGO","Parque Municipal Existente","Urbano",116094.19,327663.976551724,7390378.25517241
128,"MBOI MIRIM","Parque Municipal Existente","Urbano",191657.62,318318.994,7377115.392
129,"NABUCO","Parque Municipal Existente","Urbano",30464.27,330672.07,7382108.29
134,"NATURAL ITAIM (RODOANEL)","Parque Municipal Existente","Natural",4794445.01,324599.273866667,7365831.41924444
140,"NATURAL MUNICIPAL BORORE (RODOANEL)","Parque Municipal Existente","Natural",1931476.42,331490.214523809,7367222.39857143
143,"NATURAL MUNICIPAL FAZENDA DO CARMO","Parque Municipal Existente","Natural",4485859.82,350942.750735294,7390631.24941176
151,"NATURAL MUNICIPAL JACEGUAVA (RODOANEL)","Parque Municipal Existente","Natural",3730789.68,319982.70990566,7369046.12933962
154,"NATURAL MUNICIPAL VARGINHA (RODOANEL)","Parque Municipal Existente","Natural",4209829.15,328880.223714286,7366619.39794286
160,"NOVE DE JULHO (ORLA DO GUARAPIRANGA)","Parque Municipal Existente","Urbano",613030.02,325580.723168317,7375804.2839604
161,"PARQUE DAS AGUAS","Parque Municipal Existente","Urbano",73986.47,359977.848571429,7399326.90142857
164,"PINHEIRINHO D'AGUA","Parque Municipal Existente","Urbano",366905.89,323545.207368421,7406784.98605263
166,"PIQUERI","Parque Municipal Existente","Urbano",98114.59,339330.12,7397077.59
170,"PREFEITO MARIO COVAS","Parque Municipal Existente","Urbano",7567.83,330669.355,7393438.055
171,"PREVIDENCIA","Parque Municipal Existente","Urbano",89312.99,323812.1,7391130.44142857
172,"QUISSISSANA (RESERVA)","Parque Municipal Existente","Urbano",36564.23,356758.4625,7397857.3625
173,"RAPOSO TAVARES","Parque Municipal Existente","Urbano",211496.81,320783.736521739,7390052.32913043
174,"RAUL SEIXAS","Parque Municipal Existente","Urbano",33217.78,352661.333333333,7394563.05333333
175,"RESERVA DO MORUMBI","Parque Municipal Existente","Urbano",15079.24,326490,7389735.65
176,"RODRIGO DE GASPERI","Parque Municipal Existente","Urbano",36851.91,324309.24,7402170.55
177,"SANTA AMELIA","Parque Municipal Existente","Urbano",37495.43,359573.746,7400313.438
178,"SANTO DIAS","Parque Municipal Existente","Urbano",136040.92,319147.8,7381753.455
179,"SAO DOMINGOS","Parque Municipal Existente","Urbano",76388.22,322622.708571429,7399998.13857143
