av_id,pq_nome,area_pq_m2,area_veg,shannon,n_classes,cob_vegetacao,areapa_scale,cob_scale,area_pq_km2,riqueza,AGUA_pq_m2,BVM_sum,BV_M2
105,Vila Do Rodeio,627568.0322,566850.0468,1.33449681,5,90.32487598,2.142234061,1.254500147,627.5680322,88,3718.89728,3815858.34,2.4921
106,Vila Dos Remedios,106442.4856,100037.3618,0.469890755,3,93.98254951,-0.045259301,1.322962114,106.4424856,68,4888.03465,2617560.887,3.24914
107,Vila Silvia - Izaias Wingter,6476.54386,4293.04477,0,1,66.28604488,-0.464879554,0.951285217,6.47654386,10,0,1282874.237,3.06847
115,Borore,63642.3684,1855862.094,1.389145094,9,100,-0.22491845,1.570796327,63.6423684,119,60223.25899,234923.6074,0.05812
116,Fazenda Do Carmo,804467.249,4552649.889,1.486157728,9,100,2.884791906,1.570796327,804.467249,197,6696.53208,6972089.913,1.65709
117,Itaim,21053.30138,4416764.139,1.436085305,11,100,-0.403691688,1.570796327,21.05330138,164,28164.33102,3016050.583,0.5444
118,Jaceguava,17760.35868,3590486.155,1.580325421,12,100,-0.41751425,1.570796327,17.76035868,153,27506.10983,2066246.797,0.25559
119,RPPN Mutinga,24852.55778,24379.69975,0,1,98.09734662,-0.387743807,1.432418427,24.85255778,88,0,1635763.064,3.48544
120,RPPN Sítio Curucutu,510125.1107,497372.8417,1.203414376,7,97.50016835,1.649251875,1.412021504,510.1251107,165,5031.7207,4219.515453,0.00329
121,Varginha,27375.55842,3585033.536,1.761449582,13,100,-0.377153179,1.570796327,27.37555842,146,79154.82037,457758.9294,0.07445
215,Tatuape - Lions Clube Penha,18109.82479,14803.4906,0,1,81.74287036,-0.41604732,1.129310139,18.10982479,15,0,1537672.986,3.22986
