"ID","classe_11","classe_13","classe_14","classe_7","classe_8","classe_9","classe_5","classe_15","classe_2","classe_3","classe_10","classe_12","classe_1","classe_4","classe_6"
118,513333181,2410474758,178324287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,147058790,325052321,13155217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,354915225,23778080592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,40792303991,11064323728,4609453593,18269995705,273185922,NA,NA,NA,NA,NA,1745106248,NA,NA,NA,NA
123,NA,16179329779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,11619207648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,8613535816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,3112169570,7890169953,855308230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,10062590593,11137351662,125151993,NA,NA,NA,NA,NA,NA,NA,16074776516,NA,NA,NA,NA
129,NA,3845049769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,156885964993,94073435594,4531750607,9786125600,NA,39862992970,1791986884,51680781514,795669417386,81984755664,4780118074,NA,7431067536,NA,NA
140,23348740657,145314528129,3350042714,17326970438,NA,20782779014,164474218,181962657703,89653714010,35790805977,1290496668,NA,NA,NA,NA
143,62898036310,27670249675,6732149642,1933522334,NA,NA,NA,71507262487,193803514365,487024899053,18171996020,NA,NA,NA,NA
151,56395927717,108215418436,12502824163,45131910459,NA,7133413910,8920582702,51690140099,639220834967,49856825669,8430569422,6295203002,22011951497,NA,NA
154,132441582548,66942565484,2229755313,21422093994,2201480019,257733066,330634823,81782684328,225824689051,131115539759,32986995980,8555329895,50110556016,NA,NA
160,22067610798,33234478569,1551258300,16893756401,1008620914,NA,4391219694,NA,NA,NA,NA,NA,NA,NA,NA
161,122809259,6204703641,85354837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,6310137951,28337926977,470844797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,12826300483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,NA,1383994143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,1682995708,624988555,NA,NA,8931888796,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,184592056,3473607473,604409946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,2849672124,9205744390,3806070,NA,NA,7165575763,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,1172160115,1911868498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,NA,NA,NA,NA,1863986321,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,3633481406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,2887952006,18317477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,342781907,414193307,27988982,NA,NA,13187946841,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,NA,150433129,424816003,NA,NA,7209642341,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,23960506474,832646901,4633171148,NA,NA,1174314645,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NA,4438719738,1106586443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,NA,7309370512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,5047539314,70365927,145390906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,NA,92612622354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,275631856,7852650712,NA,92643947,83836712,NA,NA,NA,NA,NA,4660761064,NA,NA,NA,NA
190,NA,4707532354,NA,NA,NA,8744667902,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,1859082658,6270402541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,89138583,1207202615,89423433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,30191555183,7229565069,886893634,NA,NA,26312944057,NA,NA,NA,12752962526,NA,NA,NA,NA,NA
197,5864676121,5993472366,709586088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,17358059286,2503640236,96565822,NA,NA,NA,NA,NA,NA,NA,8288444932,NA,NA,NA,NA
199,2140684576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,21283093813,10570580654,522517062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,NA,300186158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,212761383083,103293941457,395198249,891580956,NA,41250369053,33455168490,113394506731,24928776416,2261067772,1642292115045,1736457191,NA,NA,NA
205,83037339068,NA,NA,NA,NA,NA,NA,NA,NA,NA,442823641746,NA,NA,NA,NA
